"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"150155","occ","","","13309","Neogaeornis wetzeli","species","53321","Late Maastrichtian","","70.6","66","6052"
"150157","occ","","","13306","Yacoraitichnus avis","species","58867","Maastrichtian","","72.1","66","6049"
"384559","occ","","","36611","Zonotrichia","genus","129849","Ensenadan","","1.2","0.781","9817"
"404183","occ","","","38793","Diogenornis fragilis","species","246685","Late Paleocene","Early Eocene","58.7","48.6","10425"
"411904","occ","","","39295","Telmabates antiquus","species","57764","Middle Eocene","","48.6","37.2","10799"
"460646","occ","11840","","45418","Presbyornithidae","family","39621","Eocene","","56","33.9","11768"
"496778","occ","","","14211","Physornis","genus","39468","Deseadan","","29","21","13480"
"536861","occ","","","55600","Megapaloelodus","genus","39591","Huayquerian","","9","6.8","15016"
"536862","occ","","","55600","Phoenicopteridae","family","39589","Huayquerian","","9","6.8","15016"
"536865","occ","","","55600","Rheidae","family","39283","Huayquerian","","9","6.8","15016"
"536866","occ","","","55600","Rallidae","family","39513","Huayquerian","","9","6.8","15016"
"536867","occ","","","55600","Phorusrhacidae","family","39461","Huayquerian","","9","6.8","15016"
"536868","occ","","","55600","Devincenzia","genus","39465","Huayquerian","","9","6.8","15016"
"536869","occ","","","55600","Andalgalornis","genus","39463","Huayquerian","","9","6.8","15016"
"541123","occ","","","45886","Anseriformes","order","39620","Burdigalian","","20.44","15.97","15235"
"545038","occ","","","13079","Sula","genus","36639","Messinian","","7.246","5.333","15398"
"545039","occ","","","13079","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","15398"
"545040","occ","","","13079","Pelagornithidae","family","39658","Messinian","","7.246","5.333","15398"
"545041","occ","","","13079","Procellariidae","family","39695","Messinian","","7.246","5.333","15398"
"565286","occ","","","45487","Sula","genus","36639","Serravallian","","13.82","11.62","16797"
"565300","occ","","","45486","Sula","genus","36639","Tortonian","","11.62","7.246","16797"
"565301","occ","","","45486","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","16797"
"565302","occ","","","45486","Pelagornithidae","family","39658","Tortonian","","11.62","7.246","16797"
"565313","occ","","","45485","Sula","genus","36639","Tortonian","","11.62","7.246","16797"
"565314","occ","","","45485","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","16797"
"565326","occ","","","46084","Sula","genus","36639","Messinian","","7.246","5.333","16797"
"565327","occ","","","46084","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","16797"
"565350","occ","","","46083","Sula","genus","36639","Messinian","","7.246","5.333","16797"
"565351","occ","","","46083","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","16797"
"565352","occ","","","46083","Procellariidae","family","39695","Messinian","","7.246","5.333","16797"
"571567","occ","","","59940","Phorusrhacidae","family","39461","Late Oligocene","Early Miocene","28.4","15.97","17215"
"576195","occ","","","60620","Diomedeidae","family","39692","Chasicoan","","10","9","7495"
"597475","occ","","","63342","Rhea americana","species","83730","Holocene","","0.0117","0","17632"
"597476","occ","","","63342","Anas","genus","67686","Holocene","","0.0117","0","17632"
"597487","occ","","","63337","Rheidae","family","39283","Lujanian","","0.781","0.012","17632"
"597500","occ","","","63338","Rhea","genus","83729","Holocene","","0.0117","0","17632"
"597501","occ","","","63338","Nothura","genus","39271","Holocene","","0.0117","0","17632"
"597502","occ","","","63338","Tinamidae","family","39268","Holocene","","0.0117","0","17632"
"597503","occ","","","63338","Anas","genus","67686","Holocene","","0.0117","0","17632"
"597504","occ","","","63338","Dendrocygna","genus","83736","Holocene","","0.0117","0","17632"
"597505","occ","","","63338","Anatidae","family","39624","Holocene","","0.0117","0","17632"
"598059","occ","","","63335","Rhea","genus","83729","Middle Pleistocene","","0.781","0.126","17632"
"598060","occ","","","63335","Chloephaga","genus","83784","Middle Pleistocene","","0.781","0.126","17632"
"598061","occ","","","63335","Chloephaga","genus","83784","Middle Pleistocene","","0.781","0.126","17632"
"598062","occ","","","63335","Porphyrula","genus","83793","Middle Pleistocene","","0.781","0.126","17632"
"598063","occ","","","63335","Motacillinae","subfamily","83785","Middle Pleistocene","","0.781","0.126","17632"
"617915","occ","","","13079","Ramphastosula ramirezi","species","87503","Messinian","","7.246","5.333","18990"
"617928","occ","","","13079","Fulmarus","genus","39698","Messinian","","7.246","5.333","40374"
"617929","occ","","","13079","Pelagornis","genus","39666","Messinian","","7.246","5.333","18990"
"617931","occ","","","13079","Sula","genus","36639","Messinian","","7.246","5.333","18990"
"624995","occ","","","55602","Anhinga","genus","39686","Tortonian","","11.62","7.246","19222"
"624996","occ","","","55602","Anhinga","genus","39686","Tortonian","","11.62","7.246","19222"
"624997","occ","","","55602","Anhinga grandis","species","53340","Tortonian","","11.62","7.246","19222"
"627140","occ","","","67634","Phalacrocorax bougainvillii","species","90130","Piacenzian","","3.6","2.588","19301"
"627141","occ","","","67634","Phalacrocorax","genus","39689","Piacenzian","","3.6","2.588","19301"
"639049","occ","","","55535","Sula","genus","36639","Messinian","","7.246","5.333","19852"
"639050","occ","","","55535","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","19852"
"639051","occ","","","55535","Pelagornithidae","family","39658","Messinian","","7.246","5.333","19852"
"639052","occ","","","55535","Diomedea","genus","39693","Messinian","","7.246","5.333","19852"
"654914","occ","","","70705","Rhea americana","species","83730","Holocene","","0.0117","0","19694"
"654915","occ","","","70705","Podiceps","genus","39553","Holocene","","0.0117","0","19694"
"654916","occ","","","70705","Podiceps","genus","39553","Holocene","","0.0117","0","19694"
"654919","occ","","","70705","Dendrocygna","genus","83736","Holocene","","0.0117","0","19694"
"654920","occ","","","70705","Anas","genus","67686","Holocene","","0.0117","0","19694"
"654921","occ","","","70705","Rallidae","family","39513","Holocene","","0.0117","0","19694"
"654925","occ","","","70705","Columbidae","family","39353","Holocene","","0.0117","0","19694"
"654926","occ","","","70705","Falconidae","family","39317","Holocene","","0.0117","0","19694"
"654927","occ","","","70705","Coccyzus","genus","289513","Holocene","","0.0117","0","19694"
"654929","occ","","","70705","Passeriformes","order","39441","Holocene","","0.0117","0","19694"
"662052","occ","","","71328","Falco","genus","39319","Holocene","","0.0117","0","24000"
"662167","occ","","","71338","Rhea","genus","83729","Late Pleistocene","","0.126","0.0117","24013"
"662168","occ","","","71338","Eudromia","genus","39269","Late Pleistocene","","0.126","0.0117","24013"
"685633","occ","","","73843","Rhea americana","species","83730","Holocene","","0.0117","0","24752"
"685647","occ","","","73845","Rhea americana","species","83730","Late Pleistocene","","0.126","0.0117","24073"
"692512","occ","","","39295","Telmabates howardae","species","105757","Middle Eocene","","48.6","37.2","25108"
"692529","occ","","","74644","Cruschedula revola","species","105823","Oligocene","","33.9","23.03","25128"
"692530","occ","","","74644","Cladornis pachypus","species","53633","Oligocene","","33.9","23.03","25128"
"692551","occ","","","74646","Kelenken guillermoi","species","105906","Colloncuran","","15.5","13.8","25131"
"754353","occ","","","79180","Psilopterus colzecus","species","181128","Late Miocene","","11.608","5.333","27152"
"788011","occ","","","85116","Leptoptilos patagonicus","species","136811","Late Miocene","","11.608","5.333","28618"
"788528","occ","","","85172","Taubatornis campbelli","species","137168","Late Oligocene","Early Miocene","28.4","15.97","28662"
"788625","occ","","","85201","Hoazinoides magdalenae","species","137212","Late Miocene","","11.608","5.333","28674"
"796342","occ","","","32370","Limenavis patagonica","species","134885","Late Campanian","Early Maastrichtian","83.5","66","28366"
"801752","occ","","","87198","Eudromia","genus","39269","Huayquerian","","9","6.8","29353"
"801753","occ","","","87198","Argentavis magnificens","species","137174","Huayquerian","","9","6.8","29353"
"801802","occ","","","87200","Argentavis magnificens","species","137174","Huayquerian","","9","6.8","29353"
"801803","occ","","","87201","Argentavis magnificens","species","137174","Huayquerian","","9","6.8","29353"
"810646","occ","","","71303","Phalacrocorax brasilianus","species","53349","Lujanian","","0.781","0.012","29788"
"810647","occ","","","27313","Patagornis marshi","species","53566","Middle Miocene","","15.97","11.608","29788"
"810648","occ","","","13503","Palaeociconia australis","species","146055","Montehermosan","","6.8","4","29788"
"810649","occ","","","88834","Brontornis burmeisteri","species","53587","Middle Miocene","","15.97","11.608","29788"
"810650","occ","","","27313","Brontornis burmeisteri","species","53587","Middle Miocene","","15.97","11.608","29788"
"810651","occ","","","66154","Brontornis burmeisteri","species","53587","Early Miocene","","23.03","15.97","29788"
"810652","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810653","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810654","occ","","","66154","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","29788"
"810655","occ","","","66154","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","29788"
"810656","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810657","occ","","","13503","Mesembriornis milneedwardsi","species","146059","Montehermosan","","6.8","4","29788"
"810658","occ","","","27313","Patagornis marshi","species","53566","Middle Miocene","","15.97","11.608","29788"
"810659","occ","","","66154","Psilopterus lemoinei","species","146060","Early Miocene","","23.03","15.97","29788"
"810660","occ","","","27313","Psilopterus bachmanni","species","146061","Middle Miocene","","15.97","11.608","29788"
"810661","occ","","","13503","Dryornis pampeanus","species","146063","Montehermosan","","6.8","4","29788"
"810662","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810663","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810664","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810665","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810666","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810667","occ","","","71303","Lagopterus minutus","species","146066","Lujanian","","0.781","0.012","29788"
"810668","occ","","","13503","Foetopterus ambiguus","species","146068","Montehermosan","","6.8","4","29788"
"810670","occ","","","27313","Psilopterus bachmanni","species","146061","Middle Miocene","","15.97","11.608","29788"
"810671","occ","","","27313","Psilopterus lemoinei","species","146060","Middle Miocene","","15.97","11.608","29788"
"810672","occ","","","27313","Psilopterus bachmanni","species","146061","Middle Miocene","","15.97","11.608","29788"
"810674","occ","","","13503","Protorhea azarae","species","146076","Montehermosan","","6.8","4","29788"
"810675","occ","","","88835","Rhea subpampeana","species","146077","Miocene","","23.03","5.333","29788"
"810676","occ","","","88836","Rhea pampeana","species","146078","Late Pleistocene","","0.126","0.0117","29788"
"810677","occ","","","88837","Rhea fossilis","species","146079","Neogene","","23.03","2.588","29788"
"811462","occ","","","89030","Falconidae","family","39317","Early Miocene","","23.03","15.97","29860"
"811688","occ","","","89093","Psilopteridae","family","134480","Early Miocene","","23.03","15.97","29898"
"841336","occ","","","93267","Rheidae","family","39283","Holocene","","0.0117","0","31534"
"858933","occ","","","95373","Sulidae","family","39676","Middle Miocene","","15.97","11.608","32455"
"880311","occ","","","97648","Puffinus","genus","39702","Late Pliocene","","3.6","2.588","33341"
"896295","occ","","","99451","Pelagornis chilensis","species","171615","Tortonian","Messinian","11.62","5.333","33974"
"897341","occ","","","99479","Ardeidae","family","39541","Middle Eocene","Late Eocene","48.6","33.9","34241"
"899302","occ","","","100172","Pelagornis","genus","39666","Middle Miocene","","15.97","11.608","34370"
"899303","occ","","","100171","Pelagornis","genus","39666","Middle Miocene","","15.97","11.608","34370"
"899304","occ","","","46083","Pelagornis","genus","39666","Messinian","","7.246","5.333","34370"
"899305","occ","","","45485","Pelagornis","genus","39666","Tortonian","","11.62","7.246","34370"
"899306","occ","","","100171","Pelagornis","genus","39666","Middle Miocene","","15.97","11.608","34370"
"899307","occ","","","46084","Pelagornithidae","family","39658","Messinian","","7.246","5.333","34370"
"899308","occ","","","45487","Pelagornithidae","family","39658","Serravallian","","13.82","11.62","34370"
"899309","occ","","","100171","Thalassarche","genus","143740","Middle Miocene","","15.97","11.608","34369"
"899317","occ","","","100174","Phalacrocorax","genus","39689","Late Pliocene","","3.6","2.588","34371"
"899318","occ","","","100174","Milvago","genus","289541","Late Pliocene","","3.6","2.588","34371"
"899332","occ","","","100178","Diomedeidae","family","39692","Miocene","Pliocene","23.03","2.588","34372"
"978557","occ","","","96800","Sula","genus","36639","Tortonian","","11.62","7.246","37592"
"978558","occ","","","96800","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","37592"
"979877","occ","","","45087","Ornithurae","subclass","137276","Campanian","Early Maastrichtian","83.6","66","37643"
"979879","occ","","","45087","Neornithes","subclass","39241","Campanian","Early Maastrichtian","83.6","66","37643"
"986426","occ","","","118314","Eutreptodactylus itaboraiensis","species","202891","Late Paleocene","Early Eocene","58.7","48.6","38103"
"986722","occ","","","118307","Neornithes","subclass","39241","Turonian","Coniacian","93.9","86.3","38123"
"994446","occ","","","49557","Neornithes","subclass","39241","Late Campanian","Early Maastrichtian","83.5","66","38457"
"998100","occ","","","120884","Phorusrhacidae","family","39461","Middle Pleistocene","Late Pleistocene","0.781","0.0117","38600"
"998116","occ","","","63884","Pelagornithidae","family","39658","Pleistocene","","2.588","0.0117","38602"
"1000845","occ","","","118314","Itaboravis elaphrocnemoides","species","207706","Late Paleocene","Early Eocene","58.7","48.6","38768"
"1002407","occ","","","122031","Psilopteridae","family","134480","Middle Miocene","Late Miocene","15.97","5.333","38839"
"1002408","occ","","","122031","Accipitridae","family","39323","Middle Miocene","Late Miocene","15.97","5.333","38839"
"1002409","occ","","","122031","Dendrocygninae","subfamily","208974","Middle Miocene","Late Miocene","15.97","5.333","38839"
"1002848","occ","","","122079","Psilopteridae","family","134480","Middle Miocene","Late Miocene","15.97","5.333","38839"
"1002849","occ","","","122079","Dendrocygninae","subfamily","208974","Middle Miocene","Late Miocene","15.97","5.333","38839"
"1019109","occ","","","46083","Fulmarus","genus","39698","Messinian","","7.246","5.333","40374"
"1019110","occ","","","45486","Pelagornis","genus","39666","Tortonian","","11.62","7.246","40374"
"1073789","occ","","","118314","Paleopsilopterus itaboraiensis","species","181132","Late Paleocene","Early Eocene","58.7","48.6","38164"
"1087331","occ","","","64832","Neornithes","subclass","39241","Eocene","","56","33.9","43663"
"1094084","occ","","","136717","Phorusrhacinae","subfamily","181133","Late Miocene","","11.608","5.333","44102"
"1111604","occ","","","140805","Psittacidae","family","39358","Lujanian","","0.781","0.012","45666"
"1111605","occ","","","140805","Nothura","genus","39271","Lujanian","","0.781","0.012","45666"
"1111606","occ","","","140805","Colaptes","genus","129806","Lujanian","","0.781","0.012","45666"
"1124775","occ","32103","","142529","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","58178"
"1124801","occ","","","142533","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","46189"
"1145194","occ","","","145811","Psilopteridae","family","134480","Middle Miocene","","15.97","11.608","47156"
"1180255","occ","","","152062","Dendrocygna","genus","83736","Montehermosan","","6.8","4","48757"
"1180256","occ","","","152062","Chunga","genus","39457","Montehermosan","","6.8","4","48757"
"1180290","occ","","","152064","Chunga","genus","39457","Montehermosan","","6.8","4","48757"
"1180414","occ","","","152081","Dendrocygninae","subfamily","208974","Early Pliocene","","5.333","3.6","48790"
"1180415","occ","","","152081","Eudromia","genus","39269","Early Pliocene","","5.333","3.6","48790"
"1180416","occ","","","152081","Mesembriornis milneedwardsi","species","146059","Early Pliocene","","5.333","3.6","48790"
"1180417","occ","","","152081","Chunga","genus","39457","Early Pliocene","","5.333","3.6","48790"
"1180505","occ","","","152085","Eudromia","genus","39269","Early Pliocene","","5.333","3.6","48790"
"1180506","occ","","","152085","Mesembriornis milneedwardsi","species","146059","Early Pliocene","","5.333","3.6","48790"
"1183566","occ","","","152599","Falco","genus","39319","Pleistocene","","2.588","0.0117","48919"
"1183567","occ","","","152599","Caracara plancus","species","289546","Pleistocene","","2.588","0.0117","48919"
"1183568","occ","","","152599","Anas","genus","67686","Pleistocene","","2.588","0.0117","48919"
"1183570","occ","","","152599","Milvago","genus","289541","Pleistocene","","2.588","0.0117","48919"
"1183572","occ","","","152599","Buteo","genus","39325","Pleistocene","","2.588","0.0117","48919"
"1183573","occ","","","152599","Buteo","genus","39325","Pleistocene","","2.588","0.0117","48919"
"1183574","occ","","","152599","Circus","genus","146037","Pleistocene","","2.588","0.0117","48919"
"1183577","occ","","","152599","Zenaida","genus","161741","Pleistocene","","2.588","0.0117","48919"
"1183578","occ","","","152599","Columbina","genus","289995","Pleistocene","","2.588","0.0117","48919"
"1183580","occ","","","152599","Speotyto cunicularia","species","289512","Pleistocene","","2.588","0.0117","48919"
"1186250","occ","","","152599","Nycticorax","genus","39548","Pleistocene","","2.588","0.0117","15259"
"1186251","occ","","","152599","Dendrocygna autumnalis","species","290686","Pleistocene","","2.588","0.0117","15259"
"1186252","occ","","","152599","Anas","genus","67686","Pleistocene","","2.588","0.0117","15259"
"1186254","occ","","","152599","Geranoaetus","genus","105723","Pleistocene","","2.588","0.0117","15259"
"1186255","occ","","","152599","Falco","genus","39319","Pleistocene","","2.588","0.0117","15259"
"1186279","occ","","","152599","Zenaida","genus","161741","Pleistocene","","2.588","0.0117","15259"
"1186280","occ","","","152599","Tyto alba","species","94500","Pleistocene","","2.588","0.0117","15259"
"1196695","occ","","","71346","Syrigma sanctimartini","species","289764","Late Pleistocene","","0.126","0.0117","50354"
"1196696","occ","","","71346","Theristicus wetmorei","species","289767","Late Pleistocene","","0.126","0.0117","50354"
"1196697","occ","","","71346","Eudocimus peruvianus","species","289768","Late Pleistocene","","0.126","0.0117","50354"
"1196698","occ","","","71346","Milvago brodkorbi","species","289782","Late Pleistocene","","0.126","0.0117","50354"
"1196705","occ","","","71346","Caprimulgus piurensis","species","289797","Late Pleistocene","","0.126","0.0117","50354"
"1196706","occ","","","71346","Nannonetta invisitata","species","289770","Late Pleistocene","","0.126","0.0117","50354"
"1196707","occ","","","71346","Anas talarae","species","289771","Late Pleistocene","","0.126","0.0117","50354"
"1196708","occ","","","71346","Anas amotape","species","289772","Late Pleistocene","","0.126","0.0117","50354"
"1196709","occ","","","71346","Anas sanctaehelenae","species","289773","Late Pleistocene","","0.126","0.0117","50354"
"1196713","occ","","","71346","Miraquila terrestris","species","289779","Late Pleistocene","","0.126","0.0117","50354"
"1196714","occ","","","71346","Amplibuteo hibbardi","species","289749","Late Pleistocene","","0.126","0.0117","50354"
"1196715","occ","","","71346","Crypturellus","genus","39273","Late Pleistocene","","0.126","0.0117","50354"
"1196716","occ","","","71346","Podiceps","genus","39553","Late Pleistocene","","0.126","0.0117","50354"
"1196717","occ","","","71346","Podilymbus podiceps","species","133770","Late Pleistocene","","0.126","0.0117","50354"
"1196718","occ","","","71346","Phalacrocorax","genus","39689","Late Pleistocene","","0.126","0.0117","50354"
"1196719","occ","","","71346","Phalacrocorax bougainvillii","species","90130","Late Pleistocene","","0.126","0.0117","50354"
"1196720","occ","","","71346","Ardea","genus","39542","Late Pleistocene","","0.126","0.0117","50354"
"1196722","occ","","","71346","Egretta","genus","142800","Late Pleistocene","","0.126","0.0117","50354"
"1196723","occ","","","71346","Egretta","genus","142800","Late Pleistocene","","0.126","0.0117","50354"
"1196724","occ","","","71346","Nycticorax","genus","39548","Late Pleistocene","","0.126","0.0117","50354"
"1196725","occ","","","71346","Eudocimus","genus","39565","Late Pleistocene","","0.126","0.0117","50354"
"1196726","occ","","","71346","Ajaia","genus","289978","Late Pleistocene","","0.126","0.0117","50354"
"1196727","occ","","","71346","Jabiru mycteria","species","289721","Late Pleistocene","","0.126","0.0117","50354"
"1196728","occ","","","71346","Mycteria","genus","229491","Late Pleistocene","","0.126","0.0117","50354"
"1196729","occ","","","71346","Dendrocygna autumnalis","species","290686","Late Pleistocene","","0.126","0.0117","50354"
"1196730","occ","","","71346","Chloephaga","genus","83784","Late Pleistocene","","0.126","0.0117","50354"
"1196732","occ","","","71346","Anas","genus","67686","Late Pleistocene","","0.126","0.0117","50354"
"1196737","occ","","","71346","Geranoaetus","genus","105723","Late Pleistocene","","0.126","0.0117","50354"
"1196738","occ","","","71346","Buteo","genus","39325","Late Pleistocene","","0.126","0.0117","50354"
"1196739","occ","","","71346","Buteo","genus","39325","Late Pleistocene","","0.126","0.0117","50354"
"1196741","occ","","","71346","Falco","genus","39319","Late Pleistocene","","0.126","0.0117","50354"
"1196742","occ","","","71346","Falco","genus","39319","Late Pleistocene","","0.126","0.0117","50354"
"1196743","occ","","","71346","Falco sparverius","species","133779","Late Pleistocene","","0.126","0.0117","50354"
"1196744","occ","","","71346","Falco","genus","39319","Late Pleistocene","","0.126","0.0117","50354"
"1196745","occ","","","71346","Caracara plancus","species","289546","Late Pleistocene","","0.126","0.0117","50354"
"1196747","occ","","","71346","Porzana","genus","94495","Late Pleistocene","","0.126","0.0117","50354"
"1196771","occ","","","71346","Zenaida","genus","161741","Late Pleistocene","","0.126","0.0117","50354"
"1196772","occ","","","71346","Zenaida","genus","161741","Late Pleistocene","","0.126","0.0117","50354"
"1196773","occ","","","71346","Columbina","genus","289995","Late Pleistocene","","0.126","0.0117","50354"
"1196774","occ","","","71346","Columbina","genus","289995","Late Pleistocene","","0.126","0.0117","50354"
"1196776","occ","","","71346","Tyto alba","species","94500","Late Pleistocene","","0.126","0.0117","50354"
"1196777","occ","","","71346","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","50354"
"1196778","occ","","","71346","Speotyto cunicularia","species","289512","Late Pleistocene","","0.126","0.0117","50354"
"1196779","occ","","","71346","Asio flammeus","species","161529","Late Pleistocene","","0.126","0.0117","50354"
"1198129","occ","","","13503","Tinamisornis parvulus","species","290149","Montehermosan","","6.8","4","50475"
"1198130","occ","","","13503","Tinamisornis intermedius","species","290150","Montehermosan","","6.8","4","50475"
"1232000","occ","","","162173","Phalacrocorax","genus","39689","Holocene","","0.0117","0","52810"
"1259305","occ","","","46084","Sula","genus","36639","Messinian","","7.246","5.333","54566"
"1259306","occ","","","45485","Sula","genus","36639","Tortonian","","11.62","7.246","54566"
"1259307","occ","","","46084","Sula magna","species","316534","Messinian","","7.246","5.333","54566"
"1259308","occ","","","46084","Sula sulita","species","316535","Messinian","","7.246","5.333","54566"
"1259309","occ","","","45486","Sula","genus","36639","Tortonian","","11.62","7.246","54566"
"1259310","occ","","","46084","Morus peruvianus","species","316536","Messinian","","7.246","5.333","54566"
"1289476","occ","","","172172","Pelecaniformes","order","36634","Tortonian","","11.62","7.246","55908"
"1307402","occ","","","175185","Pelagornis","genus","39666","Burdigalian","","20.44","15.97","57241"
"1307403","occ","","","175186","Pelagornis chilensis","species","171615","Serravallian","","13.82","11.62","57241"
"1309837","occ","","","38879","Psilopteridae","family","134480","Middle Eocene","Late Eocene","48.6","33.9","57566"
"1315065","occ","","","176466","Andrewsornis","genus","39464","Deseadan","","29","21","58076"
"1315069","occ","","","176470","Phorusrhacidae","family","39461","Deseadan","","29","21","58080"
"1315176","occ","","","176488","Devincenzia gallinali","species","181150","Deseadan","","29","21","58093"
"1315674","occ","","","176597","Brontornis burmeisteri","species","53587","Santacrucian","","17.5","16.3","58178"
"1315675","occ","","","27313","Eoneornis australis","species","53638","Middle Miocene","","15.97","11.608","58178"
"1315676","occ","","","27313","Eutelornis patagonicus","species","53640","Middle Miocene","","15.97","11.608","58178"
"1315677","occ","","","27313","Protibis","genus","336907","Middle Miocene","","15.97","11.608","58178"
"1315678","occ","","","176598","Psilopterus bachmanni","species","146061","Santacrucian","","17.5","16.3","58178"
"1315679","occ","","","176589","Psilopterus lemoinei","species","146060","Santacrucian","","17.5","16.3","58178"
"1315680","occ","","","176578","Psilopterus lemoinei","species","146060","Santacrucian","","17.5","16.3","58178"
"1315681","occ","","","176565","Badiostes patagonicus","species","53649","Santacrucian","","17.5","16.3","58178"
"1315682","occ","","","142533","Thegornis debilis","species","53648","Early Miocene","","23.03","15.97","58178"
"1315684","occ","","","27313","Anisolornis","genus","336906","Middle Miocene","","15.97","11.608","58178"
"1315685","occ","","","27313","Liptornis hesternus","species","53644","Middle Miocene","","15.97","11.608","58178"
"1315686","occ","","","27313","Opisthodactylus patagonicus","species","246678","Middle Miocene","","15.97","11.608","58178"
"1315687","occ","","","176602","Cariama santacrucensis","species","336928","Santacrucian","","17.5","16.3","58178"
"1315688","occ","","","176602","Cariaminae","subfamily","336926","Santacrucian","","17.5","16.3","58178"
"1315689","occ","","","176602","Psilopterus bachmanni","species","146061","Santacrucian","","17.5","16.3","58178"
"1315690","occ","","","176603","Cariaminae","subfamily","336926","Santacrucian","","17.5","16.3","58178"
"1315691","occ","","","176603","Patagornis marshi","species","53566","Santacrucian","","17.5","16.3","58178"
"1316435","occ","","","95688","Phorusrhacidae","family","39461","Deseadan","","29","21","58256"
"1330337","occ","","","96800","Sula brandi","species","341564","Tortonian","","11.62","7.246","59281"
"1330338","occ","","","96800","Sula figueroae","species","341565","Tortonian","","11.62","7.246","59281"
"1330339","occ","","","13079","Ramphastosula aguierrei","species","341566","Messinian","","7.246","5.333","59281"
"1354887","occ","","","183918","Sula magna","species","316534","Tortonian","","11.62","7.246","61392"
